timestamp,open,high,low,close,volume,quote_volume,trade_count,buy_vol,sell_vol,delta,cum_delta,delta_pct,buy_trades,sell_trades,avg_trade_size,max_trade,large_vol_1btc,large_trades_1btc,whale_vol_5btc,poc_price,poc_buy_vol,poc_sell_vol,footprint_top3,absorption
2025-06-17 07:15:00,107071.99,107218.37,107007.29,107192.49,20.6452,2211296.91,2499,12.6770,7.9682,4.7088,44.1349,22.81,1567,932,0.00826,4.0145,4.0145,1,0.0000,107090,4.4612,0.3083,107090:4.46:0.31;107020:0.59:1.94;107200:0.69:1.14,NO
2025-06-17 07:20:00,107192.48,107361.21,107190.13,107264.69,57.5676,6174047.45,3641,41.3931,16.1745,25.2186,69.3535,43.81,2010,1631,0.01581,1.4205,6.1353,5,0.0000,107200,6.2097,2.1779,107200:6.21:2.18;107210:5.68:2.69;107230:5.24:3.05,NO
2025-06-17 07:25:00,107264.70,107341.50,107162.79,107173.51,51.1201,5482333.30,2933,23.2607,27.8595,-4.5988,64.7547,-9.00,1395,1538,0.01743,2.5000,3.7948,2,0.0000,107200,0.1946,5.8278,107200:0.19:5.83;107310:3.30:1.88;107260:2.58:1.86,NO
2025-06-17 07:30:00,107173.51,107220.00,107052.00,107100.00,23.1835,2483364.54,2859,7.2806,15.9029,-8.6223,56.1324,-37.19,1486,1373,0.00811,2.6582,6.6180,3,0.0000,107050,2.9152,2.3308,107050:2.92:2.33;107070:0.56:3.75;107200:0.47:1.34,NO
2025-06-17 07:35:00,107100.00,107197.18,107083.13,107164.09,16.7855,1798627.54,2582,6.8875,9.8980,-3.0104,53.1219,-17.93,1443,1139,0.00650,1.0000,1.0000,1,0.0000,107180,0.6407,3.4085,107180:0.64:3.41;107170:1.20:2.48;107100:1.19:0.56,NO
2025-06-17 07:40:00,107164.09,107164.10,106991.86,107049.04,30.5841,3275036.07,2897,8.3411,22.2430,-13.9019,39.2200,-45.45,1124,1773,0.01056,2.1601,2.1601,1,0.0000,107110,2.9193,1.2186,107110:2.92:1.22;107050:1.11:1.79;107120:0.56:2.13,NO
2025-06-17 07:45:00,107049.04,107049.04,106777.16,106830.96,46.4481,4966107.60,4054,9.0440,37.4041,-28.3600,10.8600,-61.06,1259,2795,0.01146,2.9599,8.5219,4,0.0000,107030,0.6494,5.1940,107030:0.65:5.19;107020:0.79:5.04;106790:1.31:4.10,NO
2025-06-17 07:50:00,106830.96,106897.53,106796.00,106837.20,24.0240,2567157.98,2512,9.1253,14.8986,-5.7732,5.0868,-24.03,1336,1176,0.00956,0.8076,0.0000,0,0.0000,106870,1.7620,3.2095,106870:1.76:3.21;106850:1.98:2.36;106860:1.46:2.75,NO
2025-06-17 07:55:00,106837.20,106837.20,106697.67,106701.79,32.4875,3468253.76,3498,8.8762,23.6113,-14.7352,-9.6484,-45.36,1411,2087,0.00929,1.2219,1.2219,1,0.0000,106790,1.1595,5.9885,106790:1.16:5.99;106760:1.95:4.28;106740:1.75:3.43,NO
2025-06-17 08:00:00,106701.79,106744.19,106572.08,106577.63,58.3702,6226363.73,4283,19.1270,39.2432,-20.1163,-29.7646,-34.46,1681,2602,0.01363,3.0000,12.3774,7,0.0000,106720,1.4882,6.4327,106720:1.49:6.43;106670:4.19:2.10;106640:0.75:5.30,NO
2025-06-17 08:05:00,106577.63,106865.27,106572.07,106854.21,37.5204,4005333.21,3048,28.9899,8.5306,20.4593,-9.3053,54.53,2361,687,0.01231,3.0884,8.7579,5,0.0000,106810,1.7934,2.6084,106810:1.79:2.61;106840:3.62:0.70;106580:3.52:0.76,NO
